order_date,product_name,category,quantity,unit_price,total_amount,customer_city
2024-07-24,LED Monitor,Electronics,7,449,3143,Pune
2025-03-24,Desk Lamp,Furniture,8,65,520,Delhi
2024-09-10,Standing Desk,Furniture,2,599,1198,Pune
2024-01-22,USB Hub,Electronics,9,35,315,Chennai
2025-08-25,Standing Desk,Furniture,1,599,599,Delhi
2025-12-25,Laptop Pro,Electronics,4,899,3596,Delhi
2024-02-02,Notebook Pack,Stationery,2,12,24,Chennai
2024-10-12,Webcam HD,Electronics,4,79,316,Bangalore
2025-08-07,USB Hub,Electronics,8,35,280,Chennai
2025-04-29,Printer Ink,Stationery,4,45,180,Delhi
2024-04-09,Printer Ink,Stationery,6,45,270,Kolkata
2025-02-24,Webcam HD,Electronics,1,79,79,Delhi
2024-03-03,Printer Ink,Stationery,6,45,270,Delhi
2024-09-11,Standing Desk,Furniture,4,599,2396,Ahmedabad
2024-05-23,Printer Ink,Stationery,3,45,135,Hyderabad
2025-04-18,Standing Desk,Furniture,2,599,1198,Ahmedabad
2025-07-17,Wireless Mouse,Electronics,1,29,29,Mumbai
2024-04-05,Standing Desk,Furniture,3,599,1797,Kolkata
2025-05-12,Webcam HD,Electronics,4,79,316,Kolkata
2024-03-01,Office Chair,Furniture,7,349,2443,Mumbai
2025-02-03,LED Monitor,Electronics,8,449,3592,Hyderabad
2025-03-09,Desk Lamp,Furniture,8,65,520,Bangalore
2024-07-13,LED Monitor,Electronics,4,449,1796,Mumbai
2025-08-16,Desk Lamp,Furniture,1,65,65,Pune
2024-02-28,Laptop Pro,Electronics,10,899,8990,Ahmedabad
2025-05-29,Desk Lamp,Furniture,3,65,195,Mumbai
2025-06-04,Wireless Mouse,Electronics,3,29,87,Delhi
2025-09-01,Wireless Mouse,Electronics,4,29,116,Kolkata
2024-05-02,USB Hub,Electronics,4,35,140,Mumbai
2025-09-26,Wireless Mouse,Electronics,7,29,203,Pune
2024-09-24,Standing Desk,Furniture,6,599,3594,Chennai
2024-09-28,Printer Ink,Stationery,3,45,135,Hyderabad
2025-04-13,Notebook Pack,Stationery,2,12,24,Mumbai
2025-04-14,USB Hub,Electronics,10,35,350,Delhi
2024-03-16,Desk Lamp,Furniture,4,65,260,Hyderabad
2024-05-15,Notebook Pack,Stationery,2,12,24,Chennai
2025-01-13,LED Monitor,Electronics,3,449,1347,Ahmedabad
2025-07-10,LED Monitor,Electronics,10,449,4490,Mumbai
2025-11-14,Desk Lamp,Furniture,5,65,325,Delhi
2024-05-17,LED Monitor,Electronics,2,449,898,Delhi
2025-07-20,Office Chair,Furniture,5,349,1745,Hyderabad
2025-09-11,Standing Desk,Furniture,6,599,3594,Chennai
2025-12-04,LED Monitor,Electronics,9,449,4041,Ahmedabad
2024-09-14,Laptop Pro,Electronics,2,899,1798,Kolkata
2024-10-10,Laptop Pro,Electronics,1,899,899,Pune
2024-05-13,LED Monitor,Electronics,3,449,1347,Ahmedabad
2025-07-18,Printer Ink,Stationery,9,45,405,Mumbai
2024-04-24,Wireless Mouse,Electronics,3,29,87,Mumbai
2025-01-13,USB Hub,Electronics,9,35,315,Bangalore
2025-03-16,Office Chair,Furniture,1,349,349,Hyderabad
2025-01-08,Laptop Pro,Electronics,6,899,5394,Chennai
2025-11-29,Standing Desk,Furniture,2,599,1198,Pune
2025-07-27,Printer Ink,Stationery,10,45,450,Bangalore
2024-08-30,Office Chair,Furniture,3,349,1047,Kolkata
2024-01-26,Office Chair,Furniture,6,349,2094,Kolkata
2025-11-16,Standing Desk,Furniture,5,599,2995,Bangalore
2025-12-19,Wireless Mouse,Electronics,7,29,203,Mumbai
2025-04-26,Standing Desk,Furniture,4,599,2396,Ahmedabad
2024-12-24,LED Monitor,Electronics,4,449,1796,Chennai
2024-01-25,Standing Desk,Furniture,7,599,4193,Pune
2024-10-12,Wireless Mouse,Electronics,5,29,145,Pune
2025-10-18,Desk Lamp,Furniture,7,65,455,Pune
2024-01-29,Wireless Mouse,Electronics,5,29,145,Bangalore
2025-08-17,LED Monitor,Electronics,1,449,449,Delhi
2025-09-02,Printer Ink,Stationery,6,45,270,Pune
2025-03-22,USB Hub,Electronics,9,35,315,Delhi
2025-01-29,USB Hub,Electronics,4,35,140,Hyderabad
2024-02-15,Printer Ink,Stationery,1,45,45,Chennai
2025-01-07,Printer Ink,Stationery,2,45,90,Pune
2025-09-30,Notebook Pack,Stationery,2,12,24,Hyderabad
2025-06-03,LED Monitor,Electronics,7,449,3143,Pune
2025-02-16,LED Monitor,Electronics,9,449,4041,Bangalore
2024-07-15,Printer Ink,Stationery,7,45,315,Bangalore
2025-09-22,USB Hub,Electronics,5,35,175,Kolkata
2025-07-15,Laptop Pro,Electronics,5,899,4495,Hyderabad
2024-08-03,Printer Ink,Stationery,10,45,450,Pune
2025-04-21,Webcam HD,Electronics,8,79,632,Chennai
2025-06-07,Webcam HD,Electronics,3,79,237,Delhi
2024-10-17,Desk Lamp,Furniture,10,65,650,Pune
2024-04-05,Standing Desk,Furniture,5,599,2995,Chennai
2024-07-22,Office Chair,Furniture,1,349,349,Mumbai
2024-09-07,Webcam HD,Electronics,10,79,790,Delhi
2025-04-11,Printer Ink,Stationery,10,45,450,Chennai
2025-12-14,Printer Ink,Stationery,8,45,360,Kolkata
2024-09-06,Office Chair,Furniture,1,349,349,Delhi
2025-03-11,Standing Desk,Furniture,3,599,1797,Ahmedabad
2024-02-21,Desk Lamp,Furniture,4,65,260,Delhi
2025-04-12,Office Chair,Furniture,8,349,2792,Pune
2025-03-29,USB Hub,Electronics,9,35,315,Kolkata
2025-07-15,Webcam HD,Electronics,3,79,237,Ahmedabad
2025-04-05,LED Monitor,Electronics,4,449,1796,Hyderabad
2025-06-17,Webcam HD,Electronics,4,79,316,Hyderabad
2025-03-26,Wireless Mouse,Electronics,5,29,145,Chennai
2024-10-05,Notebook Pack,Stationery,6,12,72,Delhi
2024-05-21,Office Chair,Furniture,4,349,1396,Kolkata
2025-12-11,Office Chair,Furniture,4,349,1396,Delhi
2025-02-28,Printer Ink,Stationery,6,45,270,Ahmedabad
2025-03-01,Laptop Pro,Electronics,4,899,3596,Kolkata
2025-02-02,USB Hub,Electronics,1,35,35,Kolkata
2025-05-03,Laptop Pro,Electronics,6,899,5394,Hyderabad
2025-02-03,Printer Ink,Stationery,9,45,405,Chennai
2025-05-14,Standing Desk,Furniture,5,599,2995,Kolkata
2025-05-12,Laptop Pro,Electronics,7,899,6293,Pune
2025-11-15,Printer Ink,Stationery,3,45,135,Ahmedabad
